feature,importance
alcohol,0.1942783099642748
density,0.12119516335149787
volatile_acidity,0.10715564427626735
free_sulfur_dioxide,0.08688375459846166
total_sulfur_dioxide,0.07856961225282774
chlorides,0.07772783960382966
residual_sugar,0.07302317181872225
sulphates,0.06963347579507821
citric_acid,0.06728007732636318
pH,0.06682975859298457
fixed_acidity,0.057423192419692716
