feature,importance
alcohol,0.2065156609435657
volatile_acidity,0.11365533904165875
density,0.10527600705248573
free_sulfur_dioxide,0.08586998110856583
total_sulfur_dioxide,0.08072158262865235
sulphates,0.07584089076678441
chlorides,0.07383765622704544
residual_sugar,0.07270642487060988
pH,0.06780514760581793
citric_acid,0.06430306343121406
fixed_acidity,0.05346824632360001
